epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
62,5204.43,1.32515,2.46513,2.10068,1.91932,0,0.87646,0.75999,0.84175,0.63497,0.8703,0.69606,0.77339,0.50675,1.23395,1.87556,1.67329,1.62439,0,0.00043961,0.00043961,0.00043961
63,5289.51,1.36276,2.54638,2.14062,1.94197,0,0.86917,0.77176,0.84174,0.6218,0.82939,0.72404,0.77022,0.50626,1.26941,1.82149,1.72697,1.64578,0,0.00043862,0.00043862,0.00043862
64,5374.18,1.31855,2.4559,2.11192,1.91115,0,0.86324,0.77918,0.8443,0.62626,0.82027,0.71689,0.75586,0.49787,1.28269,1.89703,1.73743,1.65008,0,0.00043763,0.00043763,0.00043763
65,5457.6,1.32642,2.50072,2.10953,1.91254,0,0.89773,0.7601,0.84387,0.63064,0.85157,0.72204,0.76322,0.50597,1.25368,1.85225,1.69811,1.62339,0,0.00043664,0.00043664,0.00043664
66,5540.96,1.33054,2.4508,2.09131,1.9092,0,0.89169,0.76476,0.85253,0.62709,0.84144,0.71981,0.7668,0.50694,1.25175,1.83874,1.75772,1.64663,0,0.00043565,0.00043565,0.00043565
67,5623.37,1.34879,2.48456,2.13403,1.94271,0,0.85861,0.77202,0.84626,0.60708,0.85614,0.70238,0.77326,0.50345,1.30147,1.89379,1.64783,1.67266,0,0.00043466,0.00043466,0.00043466
68,5706.45,1.34759,2.54101,2.10627,1.93465,0,0.8765,0.77087,0.84303,0.6165,0.81892,0.71999,0.75819,0.4914,1.29245,1.84249,1.69422,1.66951,0,0.00043367,0.00043367,0.00043367
69,5790.95,1.34834,2.49975,2.13787,1.92867,0,0.84566,0.77272,0.83441,0.62237,0.79553,0.72356,0.75819,0.49577,1.25567,1.84883,1.71981,1.63125,0,0.00043268,0.00043268,0.00043268
70,5874.45,1.30111,2.44924,2.01138,1.89168,0,0.87412,0.76899,0.83919,0.61548,0.8563,0.72763,0.7755,0.5042,1.28203,1.8577,1.6831,1.66026,0,0.00043169,0.00043169,0.00043169
71,5958.28,1.28614,2.42799,2.05446,1.87635,0,0.88102,0.76198,0.84425,0.65034,0.86132,0.72344,0.78465,0.50825,1.19403,1.85225,1.62115,1.61316,0,0.0004307,0.0004307,0.0004307
72,6041.86,1.31363,2.48545,2.03038,1.89527,0,0.88649,0.76982,0.85382,0.64929,0.85655,0.73199,0.77894,0.51289,1.19486,1.8766,1.54869,1.57774,0,0.00042971,0.00042971,0.00042971
73,6125.28,1.27925,2.38927,2.02452,1.87809,0,0.87863,0.7709,0.85477,0.64221,0.83739,0.73503,0.78597,0.51871,1.21383,1.84154,1.61248,1.60482,0,0.00042872,0.00042872,0.00042872
74,6209.17,1.30226,2.44835,2.0515,1.89348,0,0.86626,0.76388,0.85322,0.63981,0.83877,0.70575,0.76606,0.50303,1.2063,1.85956,1.62939,1.59385,0,0.00042773,0.00042773,0.00042773
